year,matches,total_goals,goals_per_match,avg_attendance,total_attendance,teams
1930,18,70,3.888888888888889,32808.27777777778,590549.0,13
1934,17,70,4.117647058823529,21352.941176470587,363000.0,16
1938,18,84,4.666666666666667,20872.222222222223,375700.0,15
1950,22,88,4.0,47511.181818181816,1045246.0,13
1954,26,140,5.384615384615385,29561.80769230769,768607.0,16
1958,35,126,3.6,23423.14285714286,819810.0,16
1962,32,89,2.78125,27911.625,893172.0,16
1966,32,89,2.78125,48847.96875,1563135.0,16
1970,32,95,2.96875,50124.21875,1603975.0,16
1974,38,97,2.5526315789473686,49098.76315789474,1865753.0,16
1978,38,102,2.6842105263157894,40678.71052631579,1545791.0,17
1982,52,146,2.8076923076923075,40571.596153846156,2109723.0,24
1986,52,132,2.5384615384615383,46039.057692307695,2394031.0,24
1990,52,115,2.2115384615384617,48388.75,2516215.0,24
1994,52,141,2.7115384615384617,68991.11538461539,3587538.0,24
1998,64,171,2.671875,43517.1875,2785100.0,32
2002,64,161,2.515625,42268.703125,2705197.0,32
2006,64,147,2.296875,52491.234375,3359439.0,33
2010,64,145,2.265625,49669.625,3178856.0,32
2014,64,171,2.671875,53758.88888888889,3386810.0,32
2018,36,117,2.7857142857142856,50529.666666666664,2122246.0,32
2022,2,119,2.7045454545454546,53732.045454545456,2364210.0,32
